epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,496.305,0.92839,7.88079,0.27379,0.67635,1.34736,0.89897,0.88281,0.94555,0.7179,0.62122,0.41534,0.37617,0.10924,0.98398,6.13572,0.08612,0.65828,1.37984,0.000666083,0.000666083,0.000666083
2,955.117,0.85377,5.57097,0.15477,0.54754,1.26584,0.92296,0.92369,0.96746,0.76992,0.81402,0.54239,0.5648,0.22334,0.86653,4.68052,0.07779,0.57999,1.23073,0.00120081,0.00120081,0.00120081
3,1386.51,0.81076,4.84546,0.13368,0.51023,1.22657,0.94814,0.93571,0.97712,0.78359,0.78516,0.59426,0.60753,0.32739,0.89477,4.16664,0.06245,0.49767,1.23655,0.00160353,0.00160353,0.00160353
4,1816.35,0.74715,4.30124,0.12327,0.45915,1.17578,0.95709,0.95492,0.98426,0.81805,0.80838,0.62622,0.65752,0.35488,0.78703,3.85594,0.05791,0.43203,1.14887,0.001406,0.001406,0.001406
5,2259.61,0.70342,3.9627,0.11521,0.41601,1.14273,0.96454,0.96145,0.98754,0.84388,0.79982,0.68981,0.70347,0.43747,0.70043,3.37487,0.05486,0.39429,1.08794,0.001208,0.001208,0.001208
6,2674.76,0.66336,3.67168,0.11177,0.38901,1.11414,0.96255,0.95197,0.98508,0.84238,0.8455,0.70389,0.74264,0.4912,0.72135,3.24015,0.05136,0.38261,1.09759,0.00101,0.00101,0.00101
7,3084.42,0.63105,3.43108,0.10561,0.36231,1.08815,0.96566,0.96849,0.98908,0.86291,0.81327,0.72976,0.74861,0.5054,0.65436,3.01283,0.05049,0.34667,1.04077,0.000812,0.000812,0.000812
8,3495.65,0.60237,3.23747,0.10348,0.33755,1.06833,0.96939,0.97054,0.99051,0.87225,0.82575,0.74773,0.77117,0.53173,0.62027,2.8486,0.04537,0.32466,1.01583,0.000614,0.000614,0.000614
9,3912.3,0.57146,3.03023,0.0995,0.31726,1.04878,0.96654,0.9767,0.99057,0.88293,0.81214,0.76678,0.76278,0.53338,0.59138,2.7878,0.04363,0.3058,0.99909,0.000416,0.000416,0.000416
10,4330.8,0.53802,2.83593,0.09669,0.2957,1.02787,0.96929,0.97208,0.9908,0.89037,0.83551,0.78151,0.80464,0.5811,0.57751,2.61729,0.04415,0.2946,0.98075,0.000218,0.000218,0.000218
